steps,heart_rate_avg,max_heart,min_heart,raw_intensity_avg,time_of_day,date,hour,user_id,feel
0,80.0,80,80,0.0,2,2023-09-04,7,85816,5
0,80.0,80,80,0.0,3,2023-09-04,8,85816,5
37,80.0,80,80,13.8667,3,2023-09-04,9,85816,5
101,80.0,80,80,40.2167,3,2023-09-04,10,85816,5
398,82.0,90,80,53.5167,3,2023-09-04,11,85816,5
84,91.32,112,80,18.7833,4,2023-09-04,12,85816,5
2070,101.0,112,80,57.1167,4,2023-09-04,13,85816,5
1580,84.86,96,80,48.5,4,2023-09-04,14,85816,5
35,87.68,112,80,19.5833,4,2023-09-04,15,85816,5
291,108.49,122,80,27.1,5,2023-09-04,16,85816,5
1429,88.0,96,80,62.1667,5,2023-09-04,17,85816,5
241,88.04,106,80,35.7667,5,2023-09-04,18,85816,4
877,96.04,122,80,37.0833,5,2023-09-04,19,85816,4
192,81.72,109,71,28.9167,6,2023-09-04,20,85816,4
659,76.52,94,68,42.35,6,2023-09-04,21,85816,4
32,103.31,112,87,44.6923,2,2023-09-05,7,85816,4
728,85.23,101,76,53.7069,3,2023-09-05,8,85816,4
687,85.3,108,71,29.1333,3,2023-09-05,9,85816,4
1098,77.0,95,63,39.5,3,2023-09-05,10,85816,4
150,73.97,83,67,40.5167,3,2023-09-05,11,85816,4
235,73.78,92,67,36.9667,4,2023-09-05,12,85816,4
1494,75.48,90,66,61.7,4,2023-09-05,13,85816,4
857,89.76,108,73,57.6441,4,2023-09-05,14,85816,4
50,80.37,93,72,37.1833,4,2023-09-05,15,85816,4
77,77.65,93,67,34.9167,5,2023-09-05,16,85816,4
496,81.3,94,70,45.05,5,2023-09-05,17,85816,4
700,77.25,94,68,49.7833,5,2023-09-05,18,85816,4
908,75.68,101,63,35.1667,5,2023-09-05,19,85816,5
1619,84.0,102,67,47.2,6,2023-09-05,20,85816,5
1214,74.97,101,61,45.4167,6,2023-09-05,21,85816,5
89,77.98,90,66,23.4082,3,2023-09-06,10,85816,4
378,92.37,103,70,59.5849,3,2023-09-06,11,85816,4
230,83.7,92,76,37.6,4,2023-09-06,12,85816,4
89,75.58,81,71,28.2833,4,2023-09-06,13,85816,4
1191,92.2,119,79,61.4,4,2023-09-06,14,85816,4
26,96.12,115,89,30.9833,4,2023-09-06,15,85816,4
894,95.3,108,83,55.35,5,2023-09-06,16,85816,4
354,85.48,98,74,39.25,5,2023-09-06,17,85816,4
97,75.57,82,71,32.3833,5,2023-09-06,18,85816,4
409,77.85,86,71,34.6667,5,2023-09-06,19,85816,4
4154,98.72,109,80,85.5667,6,2023-09-06,20,85816,4
306,75.88,87,66,24.0167,6,2023-09-06,21,85816,4
318,70.27,86,60,47.4242,2,2023-09-07,7,85816,4
251,83.2,96,76,39.25,3,2023-09-07,8,85816,4
179,83.14,93,75,31.2955,3,2023-09-07,9,85816,4
169,83.95,98,71,36.85,3,2023-09-07,10,85816,4
115,79.78,88,75,35.3167,3,2023-09-07,11,85816,4
122,80.82,106,76,41.95,4,2023-09-07,12,85816,4
2108,97.88,106,92,76.45,4,2023-09-07,13,85816,4
112,87.38,95,75,50.75,4,2023-09-07,14,85816,4
102,70.98,81,60,33.1667,4,2023-09-07,15,85816,4
142,70.85,78,68,21.6,5,2023-09-07,16,85816,4
219,82.47,98,72,53.75,5,2023-09-07,17,85816,4
688,78.77,98,70,34.5,5,2023-09-07,18,85816,4
1618,87.52,102,76,55.6333,5,2023-09-07,19,85816,4
455,87.18,107,71,41.2182,6,2023-09-07,20,85816,4
0,80.0,80,80,14.0,6,2023-09-07,21,85816,4
132,87.33,99,68,52.0652,3,2023-09-08,10,85816,4
173,96.72,104,90,51.2833,3,2023-09-08,11,85816,4
1884,111.78,123,98,74.6833,4,2023-09-08,12,85816,4
959,108.22,119,97,69.75,4,2023-09-08,13,85816,4
676,86.65,102,72,46.9636,4,2023-09-08,14,85816,4
289,81.17,94,71,47.0625,4,2023-09-08,15,85816,5
4007,100.03,109,85,88.8333,5,2023-09-08,16,85816,5
860,114.8,131,99,73.2,5,2023-09-08,17,85816,5
3205,121.17,133,110,84.9,5,2023-09-08,18,85816,5
811,97.92,111,86,66.9,5,2023-09-08,19,85816,5
77,95.75,107,89,44.65,6,2023-09-08,20,85816,4
326,92.87,101,79,45.4167,6,2023-09-08,21,85816,4
0,78.58,86,73,12.0833,3,2023-09-09,9,85816,4
22,73.22,80,67,15.8,3,2023-09-09,10,85816,4
121,76.27,86,71,25.3667,3,2023-09-09,11,85816,4
801,74.88,88,67,35.35,4,2023-09-09,12,85816,4
278,78.92,90,70,28.8983,4,2023-09-09,13,85816,4
1322,86.13,105,68,52.9833,4,2023-09-09,14,85816,4
220,80.85,88,73,35.9333,4,2023-09-09,15,85816,4
175,71.05,85,60,27.2833,5,2023-09-09,16,85816,4
155,70.38,90,55,30.55,5,2023-09-09,17,85816,4
475,79.15,91,67,43.1667,5,2023-09-09,18,85816,4
318,87.2,96,80,53.7333,5,2023-09-09,19,85816,4
15,66.75,77,59,12.8333,6,2023-09-09,20,85816,4
229,77.97,90,68,39.3667,6,2023-09-09,21,85816,4
29,79.41,85,73,41.4706,3,2023-09-10,8,85816,4
56,83.88,101,72,34.8868,3,2023-09-10,9,85816,4
196,89.07,106,82,35.3966,3,2023-09-10,10,85816,4
659,88.02,100,73,50.95,3,2023-09-10,11,85816,4
777,77.98,91,68,35.25,4,2023-09-10,12,85816,4
21,73.77,85,66,24.6667,4,2023-09-10,13,85816,4
140,68.87,78,65,26.1167,4,2023-09-10,14,85816,4
406,68.53,78,63,31.3,4,2023-09-10,15,85816,4
0,68.8,74,63,18.45,5,2023-09-10,16,85816,4
1011,75.58,88,68,42.5,5,2023-09-10,17,85816,4
1925,86.33,104,73,58.098,5,2023-09-10,18,85816,4
0,73.5,75,72,68.5,6,2023-09-10,20,85816,5
3887,92.62,107,78,79.1833,6,2023-09-10,21,85816,5
92,83.7,103,76,43.5116,3,2023-09-11,9,85816,4
90,86.12,102,70,39.0333,3,2023-09-11,10,85816,4
251,98.1,116,80,54.1923,3,2023-09-11,11,85816,4
89,89.98,103,73,45.1304,4,2023-09-11,12,85816,4
1792,96.82,109,76,53.9167,4,2023-09-11,13,85816,4
981,99.17,119,85,39.4833,4,2023-09-11,14,85816,4
1310,93.05,107,84,49.25,4,2023-09-11,15,85816,4
474,91.37,103,82,45.55,5,2023-09-11,16,85816,4
658,97.85,103,92,59.45,5,2023-09-11,17,85816,4
659,90.83,100,81,56.3333,5,2023-09-11,18,85816,4
244,83.7,96,75,37.2667,5,2023-09-11,19,85816,4
0,82.7,92,79,24.6667,6,2023-09-11,20,85816,4
125,83.8,97,75,30.6167,6,2023-09-11,21,85816,4
0,80.0,80,80,0.0,3,2023-09-12,8,85816,3
118,97.2,109,85,39.7451,3,2023-09-12,9,85816,3
441,97.05,104,89,53.5667,3,2023-09-12,10,85816,3
115,90.33,97,86,42.7333,3,2023-09-12,11,85816,3
1898,100.17,113,85,53.9,4,2023-09-12,12,85816,3
1597,89.49,104,83,39.9492,4,2023-09-12,13,85816,3
0,80.0,80,80,0.0,4,2023-09-12,14,85816,3
87,82.31,92,74,52.2308,3,2023-09-13,10,85816,3
35,90.07,112,79,26.4333,3,2023-09-13,11,85816,3
156,97.36,104,90,48.1923,4,2023-09-13,12,85816,3
698,102.07,119,96,60.5254,4,2023-09-13,13,85816,3
313,98.27,117,85,39.0167,4,2023-09-13,14,85816,3
1304,100.31,114,84,54.3729,4,2023-09-13,15,85816,3
28,83.92,100,78,21.8,5,2023-09-13,16,85816,3
1493,91.73,104,78,51.5333,5,2023-09-13,17,85816,3
107,80.98,94,72,24.7833,5,2023-09-13,18,85816,3
23,74.18,78,71,16.7667,5,2023-09-13,19,85816,3
327,82.92,99,68,35.4333,6,2023-09-13,20,85816,3
98,76.56,89,72,33.4,6,2023-09-13,21,85816,3
38,83.1,99,75,17.975,3,2023-09-14,10,85816,4
153,85.65,101,75,31.7021,3,2023-09-14,11,85816,4
983,91.31,104,78,47.9464,4,2023-09-14,12,85816,4
1262,89.18,106,71,45.05,4,2023-09-14,13,85816,4
593,80.63,92,71,37.65,4,2023-09-14,14,85816,4
83,71.63,82,67,22.7167,4,2023-09-14,15,85816,4
262,81.33,97,66,36.95,5,2023-09-14,16,85816,4
60,69.17,75,66,15.0833,5,2023-09-14,17,85816,4
44,71.07,81,65,18.4667,5,2023-09-14,18,85816,4
434,79.45,94,68,28.0833,5,2023-09-14,19,85816,4
38,73.27,78,70,20.1667,6,2023-09-14,20,85816,4
16,73.45,81,70,20.1,6,2023-09-14,21,85816,4
551,95.24,107,67,64.4412,2,2023-09-15,7,85816,4
1633,97.44,121,77,43.2542,3,2023-09-15,8,85816,4
1244,87.22,102,75,49.45,3,2023-09-15,9,85816,4
101,79.3,90,70,38.5333,3,2023-09-15,10,85816,4
79,70.78,76,67,39.0667,3,2023-09-15,11,85816,4
2778,81.28,97,69,75.9833,4,2023-09-15,12,85816,4
290,86.93,100,78,40.7833,4,2023-09-15,13,85816,4
1441,92.63,114,75,49.0333,4,2023-09-15,14,85816,4
1183,89.23,110,72,50.2,4,2023-09-15,15,85816,4
382,81.15,91,72,35.0333,5,2023-09-15,16,85816,4
301,84.93,97,73,39.7833,5,2023-09-15,17,85816,4
630,89.32,97,78,44.4167,5,2023-09-15,18,85816,4
64,72.02,83,66,23.3333,5,2023-09-15,19,85816,4
0,70.35,75,65,15.9333,6,2023-09-15,20,85816,4
572,77.72,97,64,37.0,6,2023-09-15,21,85816,4
132,81.85,86,70,46.0741,3,2023-09-16,9,85816,4
155,75.23,92,66,24.7193,3,2023-09-16,10,85816,4
