steps,heart_rate_avg,max_heart,min_heart,raw_intensity_avg,hour,rate
133,80,80,80,35.5667,7,2
1316,80,80,80,59.5333,8,2
1058,81.48,102,64,43.7833,9,2
434,75.93,95,61,35.5167,10,2
532,76.02,100,61,37.0667,11,2
116,77.17,103,59,31.0333,12,0
373,79.08,105,57,36,13,1
157,74.64,102,56,32.661,14,1
1258,79.49,109,64,56.5593,15,0
1137,81.05,112,60,47.4,16,0
1184,80.14,115,60,45.9322,17,1
227,79.12,105,58,43.4667,18,0
135,78.12,101,65,38.6833,19,2
124,79.92,97,62,38.3833,20,2
72,76.54,94,64,43.7966,21,2
1307,90.49,112,68,86.0857,8,0
748,81.55,110,64,41.931,9,0
118,80.03,95,60,27.6667,10,0
276,78.3,103,61,30.4667,11,0
48,76.07,103,52,27.1525,12,0
97,72.88,85,58,24.7167,13,0
79,73.48,92,62,31.6333,14,0
233,77.8,96,62,39.2,15,0
3001,86.74,108,64,69.3276,16,0
2260,84.05,113,64,49.5593,17,0
1456,87.13,116,64,54.8333,18,0
103,77.47,101,63,35.6333,19,0
6,69.12,86,60,23.4138,20,0
0,68.49,115,58,24.0169,21,1
122,79.98,108,63,44.0385,9,0
1977,87.59,115,71,66.5085,10,0
610,81.47,122,66,46.8644,11,0
92,80.37,100,63,29.7167,12,0
11,76.18,108,61,28.6,13,1
227,78.3,115,63,32.0833,14,0
115,77.67,110,49,30.7544,15,0
799,73.82,100,59,41.6833,16,0
1590,81.65,112,60,49.2667,17,0
365,88.76,112,59,41.32,18,0
1007,79.87,108,61,46.7826,19,1
0,78.31,98,63,25.0517,20,0
2199,87.47,113,60,59.8305,21,0
175,81.5,101,63,42.8056,10,0
177,75.25,108,51,36.95,11,0
38,78.71,102,66,42.9831,12,0
84,72.32,91,57,27.8814,13,0
80,73.59,91,61,34.2712,14,0
102,78.05,106,55,35.8167,15,1
353,76.37,95,61,29.15,16,1
136,82.3,108,68,52.4167,17,0
119,85.13,116,64,44.6,18,0
53,76.59,107,61,35.2759,19,0
0,75.52,103,59,27.2,20,1
90,84.2,118,63,58.2333,21,0
26,94.25,102,87,86.25,8,2
758,88.28,113,70,68.1724,9,0
85,88.13,109,70,47.75,10,1
1632,85.5,108,64,65.1167,11,0
953,89.03,106,72,45.1017,12,0
70,80.22,107,68,30.2931,13,1
145,79.25,129,65,27.9,14,0
244,79.67,108,62,36.0333,15,0
2442,88.67,118,64,67.8772,16,0
1480,86.35,117,64,58.7368,17,0
1110,86.08,110,68,63.5667,18,0
1108,81.67,109,59,57.1667,19,0
